Name,ref,JName,RA,DEC,Binary Type,Companion,Dist (Kpc)
J1528-3146,jbo+07,J1528-3146,15:28:34.9542,-31:46:06.836,DD,CO,0.774
J1529-3828,nbb+14,J1529-3828,15:29:15.1066,-38:28:45.85,DD,He,4.296
B1534+12,wol91a,J1537+1155,15:37:09.961730,+11:55:55.43387,DD,NS,1.051
J1537-5312,ccb+20,J1537-5312,15:37:37.69466,-53:12:25.057,ELL1,He,3.054
J1543-5149,kjb+12,J1543-5149,15:43:44.1498,-51:49:54.685,ELL1,He,1.148
J1544+4937,brr+13,J1544+4937,15:44:04.48722,+49:37:55.2545,ELL1,UL,2.991
J1545-4550,bbb+13,J1545-4550,15:45:55.94596,-45:50:37.5272,BT,He,2.247
J1546-3747A,lr11,J1546-3747A,15:46:03.44,-37:47:10.1,BT,*,6.446
J1547-5709,ccb+20,J1547-5709,15:47:24.1248,-57:09:17.5699,ELL1,He,2.695
J1600-3053,jbo+07,J1600-3053,16:00:51.903059,-30:53:49.39714,DDH,He,2.000
J1603-7202,llb+96,J1603-7202,16:03:35.67751,-72:02:32.72985,ELL1,CO(?),0.530
J1614-2230,crh+06a,J1614-2230,16:14:36.507341,-22:30:31.2707,ELL1H,CO,0.700
J1618-3921,eb01b,J1618-3921,16:18:18.8248,-39:21:01.815,T2,He,5.516
J1618-4624,ccb+20,J1618-4624,16:18:52.77579,-46:24:34.950,ELL1,CO,3.045
J1622-0315,san16,J1622-0315,16:22:59.6285,-03:15:37.328,BT,MS,1.141
J1622-6617,kjb+12,J1622-6617,16:22:03.6681,-66:17:16.978,ELL1,He(?),4.047
B1620-26,lbb+88,J1623-2631,16:23:38.2218,-26:31:53.769,BT,HeT,1.800
J1628-3205,rap+12,J1628-3205,16:28:07.00,-32:05:48.9,BT,MS,1.225
J1630+3734,san16,J1630+3734,16:30:36.46693,+37:34:42.097,ELL1,He,1.187
J1638-4725,lfl+06,J1638-4725,16:38:12.94,-47:25:32,MSS,MS,4.742
J1640+2224,wol95,J1640+2224,16:40:16.745069,+22:24:08.82406,DDH,He(?),1.515
B1639+36B,and92,J1641+3627B,16:41:41,+36:27:37,BT,He,6.500
J1641+3627D,hrs+07,J1641+3627D,16:41:41,+36:27:37,BT,*,6.500
J1641+3627E,hrs+07,J1641+3627E,16:41:41,+36:27:37,BT,UL,6.500
J1641+8049,slr+14,J1641+8049,16:41:20.8381,+80:49:52.9142,ELL1,UL,3.035
J1643-1224,lnl+95,J1643-1224,16:43:38.16185,-12:24:58.6769,DD,He,0.740
J1646-2142,rap+12,J1646-2142,16:46:18.13,-21:42:09.0,BT,*,0.967
J1653-2054,btb+15,J1653-2054,16:53:31.03,-20:54:55.1,ELL1,He(?),2.635
J1658+3630,scb+19,J1658+3630,16:58:26.5198,+36:30:30.095,ELL1,CO,0.224
J1701-3006A,dlm+01,J1701-3006A,17:01:12.50942,-30:06:30.173,BT,He,7.050
J1701-3006B,pdm+03,J1701-3006B,17:01:12.6677,-30:06:49.044,BT,He,7.050
