angDist,ID,Name  (Counterpart),RA  [hh:mm:ss],DEC  [dd:mm:ss],â [deg],b  [deg],Magnitude Outburst (AB),Mag.  Quies. (AB),d  [kpc],fxpeak [2-10] keV [erg s-1 cm-2],Porb  [h],ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.501324,57,MAXI J1828-249,18:28:58,-25:01:46,8.1151012,-6.5448459,K=17.2Â±0.2,Ks=20.82Â±0.09,,4.58E-9,,277.24155430070,-25.02953945164,0.0035867,0.0026093,63.82,4076998770904777216,277.24155520366,0.2022,-25.02956705643,0.1744,0.0279,0.2321,0.1201,6.214,0.184,0.214,-6.211,0.172,207,0.7560,223.45,0.000,0.000e+00,95,1.5760,0.0510,15,1.036,0,6.68078e+02,1.57911e+00,18.625298,2.22971e+02,1.14096e+01,19.467922,5.32144e+02,17.932823,1.130,1.535099,,,0,,,77962772414644851,,,,0.003765,0.055628,0.018643,18.623735,0.003763,6.69041e+02,-0.144,3.4184,2.8262,0.2482
1.052417,57,MAXI J1828-249,18:28:58,-25:01:46,8.1151012,-6.5448459,K=17.2Â±0.2,Ks=20.82Â±0.09,,4.58E-9,,277.24197830529,-25.02936876700,0.0006444,0.0002855,28.99,4076998775244833280,277.24197830529,0.3999,-25.02936876700,0.5804,,,,,,,,,67,0.8264,70.93,0.000,0.000e+00,3,,,6,,0,7.19523e+02,7.32850e+01,18.544756,8.70643e+02,7.34389e+01,17.988943,1.26180e+03,16.995422,2.964,0.993521,,,0,,,,,,,0.110619,0.091625,0.005297,18.544756,0.110619,7.19523e+02,1.747,0.3999,0.5804,0.6095
3.433048,57,MAXI J1828-249,18:28:58,-25:01:46,8.1151012,-6.5448459,K=17.2Â±0.2,Ks=20.82Â±0.09,,4.58E-9,,277.24103920858,-25.03021006256,0.0037319,0.0008880,46.22,4076998775282271744,277.24103920858,2.7634,-25.03021006256,2.6607,,,,,,,,,68,1.9427,86.59,2.896,1.791e+00,3,,,8,,0,1.64708e+02,1.86969e+00,20.145576,,,,,,,,,,0,,,,,,,0.012629,,,20.145576,0.012629,1.64708e+02,,2.7634,2.6607,0.8927
3.918507,57,MAXI J1828-249,18:28:58,-25:01:46,8.1151012,-6.5448459,K=17.2Â±0.2,Ks=20.82Â±0.09,,4.58E-9,,277.24078386649,-25.03018264827,0.0063250,0.0045517,63.43,4076998770976570496,277.24077734508,0.4142,-25.03020998017,0.3574,1.6311,0.4353,3.7473,6.292,-1.330,0.378,-6.150,0.300,199,0.7468,215.18,0.470,2.950e-01,95,1.5658,0.0940,13,1.037,0,3.27722e+02,1.48171e+00,19.398602,2.35512e+02,1.15362e+01,19.408510,4.32540e+02,18.157830,2.038,1.250681,,,0,,,77962772408364063,,,,0.005629,0.053257,0.023575,19.400271,0.005636,3.27219e+02,0.797,6.0122,4.9575,0.2589
4.169457,57,MAXI J1828-249,18:28:58,-25:01:46,8.1151012,-6.5448459,K=17.2Â±0.2,Ks=20.82Â±0.09,,4.58E-9,,277.24042971100,-25.02973635400,0.0029700,0.0007515,45.67,4076998770976662400,277.24042971100,2.1885,-25.02973635400,2.1439,,,,,,,,,80,0.0167,74.54,0.000,0.000e+00,3,,,8,,0,1.41118e+02,1.46753e+00,20.313408,,,,,,,,,,0,,,77962772404964712,,,,0.011622,,,20.313408,0.011622,1.41118e+02,,2.1885,2.1439,0.8796
1.303200,56,Swift J1753.7-2544,17:53:40,-25:45:14,3.6476003,0.10353821,K (not AB)â¼16.5,,,7.09E-9,,268.41638707936,-25.75362882567,0.0133713,0.0082608,74.30,4067331113050349056,268.41643720888,0.6304,-25.75360445799,0.4721,5.8295,0.7655,7.6154,11.544,10.159,0.817,5.483,0.525,432,227.2016,104995.44,5.505,3.304e+03,31,,,18,15.373,0,7.44796e+03,5.65979e+01,16.007275,3.71283e+03,1.24722e+01,16.414280,7.53297e+03,15.055480,1.510,1.358800,,,0,,,77092684164265996,,181070962,,0.008699,0.004592,0.004213,16.007275,0.008699,7.44796e+03,0.256,13.0650,8.7372,0.2523
2.264091,55,Swift J174510.8-262411,17:45:11,-26:24:13,2.1108255,1.40326586,i'â¼17.6,râ>23.1Â±0.5,<7,2.9E-8,â¤21,266.29525272111,-26.40396478786,0.0149131,0.0112728,84.95,4067049844217120768,266.29522598571,0.8561,-26.40399429391,0.7406,-2.0131,1.3230,-1.5215,8.550,-5.388,0.932,-6.639,0.666,322,3.1385,451.69,2.118,2.854e+00,95,1.1201,0.1332,14,1.126,0,1.69566e+02,9.51198e-01,20.114023,,,,,,,,,,0,,,76312662952565561,,,,0.006685,,,20.114023,0.006685,1.69566e+02,,14.8883,11.3055,0.0497
3.130332,55,Swift J174510.8-262411,17:45:11,-26:24:13,2.1108255,1.40326586,i'â¼17.6,râ>23.1Â±0.5,<7,2.9E-8,â¤21,266.29542085434,-26.40439825871,0.0033757,0.0026609,88.14,4067049844217120896,266.29542497178,0.1864,-26.40441283534,0.1638,0.3464,0.2946,1.1758,3.383,0.830,0.210,-3.280,0.158,370,0.2343,398.18,0.284,5.694e-01,95,1.3285,0.0362,16,1.008,0,7.65291e+02,1.35954e+00,18.477800,2.09573e+02,5.44074e+00,19.535202,1.04825e+03,17.196733,1.644,2.338469,,,0,,,76312662954065048,,,,0.003363,0.028325,0.022719,18.462999,0.003348,7.75795e+02,0.261,3.3750,2.6617,0.0156
3.216531,55,Swift J174510.8-262411,17:45:11,-26:24:13,2.1108255,1.40326586,i'â¼17.6,râ>23.1Â±0.5,<7,2.9E-8,â¤21,266.29631240946,-26.40282741521,0.0016144,0.0006182,53.03,4067049844332953088,266.29631240946,1.3423,-26.40282741521,1.0893,,,,,,,,,175,14.1143,584.13,4.575,1.924e+01,3,,,12,,1,2.84959e+02,2.67064e+00,19.550410,7.36739e+01,3.57658e+01,20.670258,6.49208e+02,17.716936,2.537,2.953322,,,0,,,76312662963356928,,,,0.010542,0.527089,0.070110,19.550410,0.010542,2.84959e+02,1.063,1.3423,1.0893,0.7308
3.954777,55,Swift J174510.8-262411,17:45:11,-26:24:13,2.1108255,1.40326586,i'â¼17.6,râ>23.1Â±0.5,<7,2.9E-8,â¤21,266.29547186809,-26.40256135424,0.0156541,0.0102212,110.58,4067049844217166336,266.29548151341,0.9337,-26.40258706127,0.8076,-3.7988,1.6003,-2.3737,6.102,1.944,0.962,-5.784,0.644,305,4.3049,475.90,2.450,6.115e+00,95,1.1412,0.1236,12,1.180,0,2.24441e+02,1.13726e+00,19.809608,,,,,,,,,,0,,,76312662954617225,,,,0.006153,,,19.809608,0.006153,2.24441e+02,,15.0889,11.0384,-0.2778
