angDist,Name,ref,JName,RA,DEC,Binary Type,Companion,Dist (Kpc),Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
1.823115,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849520885224192,11.39709004694,-73.31702274705,2456.23608000,1654.88782000,3704.38281000,,,,10099
1.847831,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849525159157504,11.39471642154,-73.31753620930,5031.36719000,3195.32104000,7239.68506000,3666.25513000,2700.47607000,5001.19531000,10022
3.055321,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849525160938880,11.39707663451,-73.31666760023,4271.54492000,2442.95166000,10680.40230000,,,,10099
3.224806,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849520885403904,11.39925525171,-73.31792052674,1864.00818000,1011.61493000,2945.60474000,,,,20099
3.518304,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849520885226240,11.39987777808,-73.31737794638,3542.93896000,2303.19922000,5515.03174000,,,,10099
4.237196,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849520885401216,11.39735718844,-73.31865099068,1947.87280000,1235.44580000,3051.63013000,649.70587200,609.33630400,674.40069600,10122
4.820376,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849520885394176,11.39198611829,-73.31783743535,944.94104000,685.55224600,1504.83997000,518.62713600,500.53207400,544.10870400,10122
0.022676,J0337+1715,rsa+14,J0337+1715,03:37:43.82589,+17:15:14.828,ELL1,HeT,1.3,44308738051547264,54.43261340915,17.25411546192,1827.34717000,1383.70056000,2681.70190000,1731.91858000,1333.67065000,2827.35132000,10022
0.014900,J0348+0432,lbr+13,J0348+0432,03:48:43.639000,+04:32:11.4580,ELL1,He,2.1,3273288485744249344,57.18183331780,4.53651619578,1709.52991000,944.31842000,2561.55688000,576.57434100,543.82421900,636.54516600,20022
1.115210,J0437-4715,jlh+93,J0437-4715,04:37:15.8961737,-47:15:09.110714,T2,He,0.157,4789864076732331648,69.31662758499,-47.25268764316,142.08081100,131.24137900,152.90962200,141.79222100,133.78250100,148.49211100,10033
0.436882,J0514-4002A,fgri04,J0514-4002A,05:14:06.69271,-40:02:48.8930,DDH,*,13.2,4819197505072609920,78.52799552909,-40.04700266795,2756.02295000,1907.59485000,3797.32153000,1759.45630000,1328.63220000,2273.32373000,10033
2.797967,J0514-4002A,fgri04,J0514-4002A,05:14:06.69271,-40:02:48.8930,DDH,*,13.2,4819197505072247936,78.52687123915,-40.04689837119,8187.07275000,6515.85400000,11275.01270000,5718.60010000,5220.69141000,6224.56689000,10033
2.950215,J0514-4002A,fgri04,J0514-4002A,05:14:06.69271,-40:02:48.8930,DDH,*,13.2,4819197505072412288,78.52694627309,-40.04652260180,3690.34009000,2659.48560000,4972.74365000,,,,10099
3.946820,J0514-4002A,fgri04,J0514-4002A,05:14:06.69271,-40:02:48.8930,DDH,*,13.2,4819197505072287360,78.52705396138,-40.04780690320,3855.56982000,3125.72681000,5192.10352000,4350.38330000,3791.75391000,4837.39404000,10033
3.961423,J0514-4002A,fgri04,J0514-4002A,05:14:06.69271,-40:02:48.8930,DDH,*,13.2,4819197505072677248,78.52925114169,-40.04726002279,2031.91870000,916.38848900,3616.66553000,675.59100300,560.69647200,1199.93750000,11133
4.177495,J0514-4002A,fgri04,J0514-4002A,05:14:06.69271,-40:02:48.8930,DDH,*,13.2,4819197505069020928,78.52881355533,-40.04783271027,10440.66310000,7465.53613000,14436.31050000,6994.01807000,5825.04785000,7761.36768000,10033
4.226875,J0514-4002A,fgri04,J0514-4002A,05:14:06.69271,-40:02:48.8930,DDH,*,13.2,4819197505073946624,78.52766531759,-40.04807660492,2668.51733000,2015.97266000,3613.83594000,,,,10099
4.299986,J0514-4002A,fgri04,J0514-4002A,05:14:06.69271,-40:02:48.8930,DDH,*,13.2,4819197505069028224,78.52829725595,-40.04576245791,5196.38232000,3514.07739000,9239.08594000,3133.34888000,2829.40356000,3431.38428000,10033
1.963180,J0613-0200,lnl+95,J0613-0200,06:13:43.975823,-02:00:47.23123,ELL1H,He,0.78,3118031705827298944,93.43331615916,-2.01365868149,2011.89075000,1891.64661000,2168.59790000,1968.10840000,1850.88147000,2120.26074000,10033
4.431679,J0613-0200,lnl+95,J0613-0200,06:13:43.975823,-02:00:47.23123,ELL1H,He,0.78,3118031701531604992,93.43200197935,-2.01317332801,4579.76709000,3148.11206000,8029.05127000,2912.87598000,2486.99463000,3327.73584000,10033
